host_is_superhost,neighborhood,borough,room_type,accommodates,price,review_scores_location,review_scores_rating
f,East New York,Brooklyn,Private room,1,47,3.00,2.00
t,Cypress Hills,Brooklyn,Private room,1,54,4.45,4.82
t,Flatbush,Brooklyn,Entire home/apt,4,100,4.90,4.78
t,Astoria,Queens,Private room,1,43,0.00,0.00
f,Ridgewood,Queens,Private room,1,41,4.50,5.00
f,Flatlands,Brooklyn,Private room,2,45,4.43,4.50
t,Canarsie,Brooklyn,Private room,2,113,4.63,4.90
f,Cypress Hills,Brooklyn,Private room,2,30,3.50,4.00
f,Cypress Hills,Brooklyn,Private room,2,54,4.48,4.70
t,East New York,Brooklyn,Private room,1,84,4.67,5.00
f,Concourse Village,Bronx,Private room,1,60,5.00,4.89
t,East New York,Brooklyn,Private room,4,72,4.20,4.73
f,Cypress Hills,Brooklyn,Private room,2,30,5.00,5.00
f,East New York,Brooklyn,Private room,2,90,4.50,4.50
f,East New York,Brooklyn,Private room,2,50,0.00,0.00
f,Long Island City,Queens,Private room,2,200,0.00,0.00
f,Astoria,Queens,Hotel room,2,100,0.00,0.00
f,Canarsie,Brooklyn,Private room,2,99,5.00,5.00
f,Flatbush,Brooklyn,Private room,2,250,0.00,0.00
f,Concourse Village,Bronx,Private room,2,200,0.00,0.00
t,Melrose,Bronx,Entire home/apt,2,165,0.00,0.00
f,Ridgewood,Queens,Private room,2,39,0.00,0.00
f,Mount Eden,Bronx,Private room,1,80,4.94,4.82
f,Cypress Hills,Brooklyn,Private room,2,50,4.47,4.56
f,Cypress Hills,Brooklyn,Private room,2,50,4.71,4.57
f,Flatlands,Brooklyn,Entire home/apt,5,80,4.44,4.33
f,Cypress Hills,Brooklyn,Private room,1,60,4.10,4.40
f,Cypress Hills,Brooklyn,Private room,3,60,4.46,4.56
f,Cypress Hills,Brooklyn,Private room,2,80,0.00,0.00
t,Cypress Hills,Brooklyn,Private room,2,60,4.14,4.68
t,East Elmhurst,Queens,Entire home/apt,2,124,4.70,5.00
f,Flatbush,Brooklyn,Entire home/apt,4,119,4.28,4.31
f,Corona,Queens,Shared room,1,38,4.73,4.92
t,Flatlands,Brooklyn,Entire home/apt,4,90,4.64,4.77
f,Cypress Hills,Brooklyn,Private room,1,32,5.00,5.00
f,Cypress Hills,Brooklyn,Private room,1,109,4.00,4.25
f,Ridgewood,Queens,Private room,1,55,4.79,5.00
