id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,price,number_of_reviews,review_scores_location
26224538,Bedford-Stuyvesant,Brooklyn,40.69243,-73.93878,4,4,300,49,4.57
26225021,Bedford-Stuyvesant,Brooklyn,40.68866,-73.94845,3,2,80,49,4.66
26226078,Hell's Kitchen,Manhattan,40.77504,-74.01966,4,6,159,25,4.96
26229979,Harlem,Manhattan,40.81087,-73.94673,4,4,295,3,4.33
26232008,Upper West Side,Manhattan,40.80204,-73.96642,3,2,60,5,4.8
26235873,Jamaica,Queens,40.68981,-73.80105,4,4,100,27,4.63
26238688,Woodside,Queens,40.7418,-73.89558,4,2,65,8,4.75
26240434,Upper East Side,Manhattan,40.78206,-73.95315,3,2,150,0,0
26249544,Bedford-Stuyvesant,Brooklyn,40.6957,-73.93488,3,2,86,47,4.87
26250476,Carroll Gardens,Brooklyn,40.67839,-74.00162,4,2,100,3,5
26250574,Greenpoint,Brooklyn,40.72696,-73.95478,3,2,160,75,4.97
26251173,Bushwick,Brooklyn,40.70067,-73.91395,3,1,22,0,0
26251408,Bushwick,Brooklyn,40.69486,-73.93135,3,2,50,1,0
26252097,Woodside,Queens,40.74427,-73.90541,3,2,49,45,4.69
26254270,Ridgewood,Queens,40.70593,-73.90662,4,3,44,3,5
26255072,Woodside,Queens,40.74456,-73.90574,3,1,45,64,4.9
26257823,Bushwick,Brooklyn,40.68818,-73.91933,3,2,44,42,4.81
26258306,Washington Heights,Manhattan,40.85239,-73.93763,4,2,66,4,4.75
26270554,Williamsburg,Brooklyn,40.71714,-73.95052,4,3,230,1,0
26271462,Windsor Terrace,Brooklyn,40.65163,-73.97435,4,5,225,2,5
26271688,Sunnyside,Queens,40.7365,-73.92049,3,1,67,10,4.9
26272421,Upper East Side,Manhattan,40.76169,-73.96114,4,2,101,2,4.5
26272989,Prospect Heights,Brooklyn,40.67904,-73.96453,4,4,220,2,5
26274490,Port Richmond,Staten Island,40.63552,-74.13363,3,3,50,26,4.65
26277801,Upper West Side,Manhattan,40.79041,-73.96958,4,5,230,1,0
26278372,Flatbush,Brooklyn,40.63061,-73.96193,4,4,125,13,4.92
26280662,Park Slope,Brooklyn,40.68156,-73.97888,3,3,95,3,5
26283982,Upper East Side,Manhattan,40.77156,-73.95157,4,2,129,4,5
26291721,Midtown,Manhattan,40.7427,-73.98334,4,2,149,7,5
26294354,Bedford-Stuyvesant,Brooklyn,40.68757,-73.92117,3,2,72,106,4.81
26295433,Williamsburg,Brooklyn,40.71173,-73.95909,4,3,92,0,0
26295450,Financial District,Manhattan,40.7067,-74.00781,3,2,75,3,4.5
26297631,Flatbush,Brooklyn,40.64045,-73.9534,4,3,101,95,4.55
26301165,Upper West Side,Manhattan,40.80108,-73.96195,4,2,125,8,5
26301985,Cypress Hills,Brooklyn,40.67819,-73.89364,4,5,169,59,4.85
26304163,South Slope,Brooklyn,40.66607,-73.98931,4,4,160,3,4.67
26304188,Williamsburg,Brooklyn,40.7154,-73.95712,4,5,160,3,5
26306276,Williamsburg,Brooklyn,40.71561,-73.95664,3,2,75,2,5
26313558,Upper West Side,Manhattan,40.77364,-73.99009,4,4,300,20,4.95
26320074,Prospect Heights,Brooklyn,40.67857,-73.97314,4,5,500,91,4.97
26320521,Midtown,Manhattan,40.76569,-73.98148,4,2,270,19,5
26322941,Carroll Gardens,Brooklyn,40.68454,-73.99887,4,4,190,173,4.91
26324904,Middle Village,Queens,40.71105,-73.87394,4,3,100,4,4.75
26327452,Crown Heights,Brooklyn,40.67667,-73.95273,3,2,75,5,5
26327565,St. Albans,Queens,40.70453,-73.76203,3,1,50,55,4.78
26327970,City Island,Bronx,40.84791,-73.78833,4,4,111,98,4.96
26331103,West Brighton,Staten Island,40.63414,-74.1135,3,1,45,10,4.8
26332468,Park Slope,Brooklyn,40.6726,-73.98226,4,5,380,215,5
26333975,Crown Heights,Brooklyn,40.67463,-73.95926,4,3,295,3,5
26344667,Harlem,Manhattan,40.8205,-73.95645,3,2,41,5,5
26350983,Williamsburg,Brooklyn,40.71262,-73.96577,4,4,131,1,0
26351621,Fort Greene,Brooklyn,40.68822,-73.97298,4,3,124,12,4.91
26352096,Elmhurst,Queens,40.7392,-73.87449,3,2,74,11,4.82
26357145,Murray Hill,Manhattan,40.7483,-73.9775,4,3,255,2,5
26357357,East Harlem,Manhattan,40.78999,-73.95021,4,6,225,66,4.91
26357377,Murray Hill,Manhattan,40.74826,-73.97709,4,3,255,4,5
26357960,SoHo,Manhattan,40.72254,-74.00556,4,2,300,0,0
26358694,Crown Heights,Brooklyn,40.67468,-73.95664,4,2,65,16,4.6
26361306,Flatbush,Brooklyn,40.65424,-73.96195,4,3,125,58,4.76
26362898,Bushwick,Brooklyn,40.70153,-73.9261,3,1,60,0,0
26370425,Midtown,Manhattan,40.74664,-73.98323,4,3,179,2,5
26374486,East Harlem,Manhattan,40.78794,-73.94322,4,2,50,2,5
26385422,Midtown,Manhattan,40.76137,-73.97886,4,6,634,5,5
26387184,Harlem,Manhattan,40.80816,-73.95091,4,2,80,10,4.78
26388810,Williamsburg,Brooklyn,40.7161,-73.95328,4,3,259,0,0
26391060,East Harlem,Manhattan,40.81005,-73.93566,3,2,121,16,4.56
26395296,Upper East Side,Manhattan,40.78067,-73.95019,1,2,125,18,4.93
26395314,Ellis Island,Manhattan,40.71553,-74.03825,3,1,60,145,4.92
26395486,Ellis Island,Manhattan,40.71484,-74.03743,3,2,75,134,4.91
26398320,East Village,Manhattan,40.72746,-73.98794,3,1,96,6,4.83
26398428,Bushwick,Brooklyn,40.69581,-73.93262,3,2,70,0,0
26398894,Jamaica,Queens,40.71107,-73.78388,4,7,255,31,4.71
26415104,Ellis Island,Manhattan,40.71464,-74.0397,4,2,200,84,4.95
26416651,Bushwick,Brooklyn,40.69024,-73.92165,3,2,75,4,5
26420017,Stuyvesant Town,Manhattan,40.73499,-73.97913,4,3,150,1,5
26421624,Long Island City,Queens,40.75288,-73.93555,4,2,71,58,4.7
26422113,East Flatbush,Brooklyn,40.64559,-73.92388,3,1,32,11,4.82
26425943,Williamsburg,Brooklyn,40.70909,-73.96338,4,2,232,5,5
26430182,East Harlem,Manhattan,40.78957,-73.95,4,4,100,0,0
