id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,price,number_of_reviews,review_scores_location
5160871,Chelsea,Manhattan,40.74335,-73.99819,Entire home/apt,1,135,31,4.93
5164045,Bedford-Stuyvesant,Brooklyn,40.68074,-73.92513,Private room,2,65,21,4.10
5168749,Long Island City,Queens,40.74425,-73.94953,Entire home/apt,2,140,13,5.00
5168854,Theater District,Manhattan,40.75504,-73.9879,Shared room,3,200,0,0.00
5172992,Williamsburg,Brooklyn,40.70675,-73.94654,Private room,2,40,0,0.00
5173154,Bedford-Stuyvesant,Brooklyn,40.68963,-73.94307,Private room,2,70,0,0.00
5175054,Hell's Kitchen,Manhattan,40.76194,-73.99124,Entire home/apt,2,200,164,4.95
5181720,Bushwick,Brooklyn,40.69092,-73.90443,Private room,1,30,0,0.00
5183502,Williamsburg,Brooklyn,40.71598,-73.945,Private room,2,75,45,4.86
5184986,Upper East Side,Manhattan,40.77594,-73.95584,Entire home/apt,3,180,3,4.67
5185359,Astoria,Queens,40.75976,-73.92603,Entire home/apt,4,99,19,4.94
5188840,Far Rockaway,Queens,40.59621,-73.75413,Private room,2,47,10,4.60
5191617,Bedford-Stuyvesant,Brooklyn,40.69131,-73.95383,Private room,1,70,1,0.00
5192165,Harlem,Manhattan,40.82197,-73.946,Private room,3,76,282,4.77
5192219,Harlem,Manhattan,40.82347,-73.94651,Private room,3,65,264,4.72
5194812,Bushwick,Brooklyn,40.68808,-73.91862,Private room,2,80,96,4.43
5195568,Sheepshead Bay,Brooklyn,40.59858,-73.95817,Private room,2,138,3,4.50
5199439,Upper East Side,Manhattan,40.77504,-73.95357,Entire home/apt,2,99,21,4.95
5204458,Crown Heights,Brooklyn,40.67247,-73.92894,Entire home/apt,3,96,2,3.50
5207973,East Village,Manhattan,40.7295,-73.98623,Entire home/apt,4,230,1,0.00
5213963,East Harlem,Manhattan,40.80199,-73.93353,Entire home/apt,3,119,1,5.00
5217507,Murray Hill,Manhattan,40.74625,-73.97505,Entire home/apt,3,75,13,4.77
5224210,East New York,Brooklyn,40.66836,-73.89257,Entire home/apt,2,78,50,4.58
5225088,Mariners Harbor,Staten Island,40.62914,-74.15927,Entire home/apt,6,150,26,4.35
5231104,Crown Heights,Brooklyn,40.66906,-73.93491,Private room,1,40,0,0.00
5231817,Upper East Side,Manhattan,40.75966,-73.96124,Entire home/apt,4,150,12,4.58
5232121,Ditmars Steinway,Queens,40.77727,-73.91761,Private room,2,40,145,4.70
5233279,Upper East Side,Manhattan,40.76902,-73.95807,Entire home/apt,3,139,2,5.00
5233345,Sunnyside,Queens,40.74401,-73.91331,Private room,2,90,29,4.78
5236234,Upper East Side,Manhattan,40.78633,-73.95218,Entire home/apt,2,150,0,0.00
5237336,Clinton Hill,Brooklyn,40.69657,-73.96884,Entire home/apt,4,96,86,4.42
5247202,Upper East Side,Manhattan,40.77607,-73.94802,Entire home/apt,2,60,44,4.93
5248975,Williamsburg,Brooklyn,40.71527,-73.95001,Entire home/apt,6,320,10,4.89
5251338,Red Hook,Brooklyn,40.66503,-74.01295,Private room,2,70,83,4.75
5251340,Columbia St,Brooklyn,40.68114,-74.00424,Private room,2,66,139,4.72
5251624,Bushwick,Brooklyn,40.69761,-73.92093,Private room,1,40,0,0.00
5251719,Financial District,Manhattan,40.70411,-74.00795,Shared room,2,82,0,0.00
5259407,West Village,Manhattan,40.73205,-74.0064,Entire home/apt,5,250,3,4.50
5260386,Woodside,Queens,40.74214,-73.90236,Private room,2,55,3,4.67
5262333,Midtown,Manhattan,40.76223,-73.97165,Entire home/apt,3,149,1,5.00
5266888,East Village,Manhattan,40.72478,-73.98999,Entire home/apt,3,150,28,4.96
5267177,Bushwick,Brooklyn,40.69553,-73.93009,Entire home/apt,2,110,0,0.00
5269840,East Flatbush,Brooklyn,40.65514,-73.91992,Entire home/apt,4,139,88,4.48
5276602,Fort Greene,Brooklyn,40.68485,-73.96854,Private room,1,60,20,5.00
5277117,Crown Heights,Brooklyn,40.67221,-73.95584,Private room,1,50,1,4.00
5277242,Bushwick,Brooklyn,40.70474,-73.9272,Entire home/apt,6,100,3,0.00
5278927,Greenpoint,Brooklyn,40.72558,-73.94208,Entire home/apt,3,139,9,4.78
5279902,Chelsea,Manhattan,40.73861,-73.99482,Entire home/apt,2,400,0,0.00
